Metabolic Control Analysis Result:																				
																				
A steady state was found. All coefficients are shown.																				
																				
Unscaled elasticities																				
Unscaled elasticity matrix																				
Rows:    Reactions (reduced system)																				
Columns: Species (reduced system)																				
	adp	GAP	P	G6P	DHAP	P2G	LAC	F6P	P3G	PYR	G1P	PCr	NADH	DPG	amp	PEP	atp	Cr	FDP	NAD
(vpk)	0.835459	0	0	0	0	0	0	0	0	-0.00305681	0	0	0	0	0	0.954892	-0.712483	0	0	0
(vldh)	0	0	0	0	0	0	-1.2103	0	0	2.0678	0	0	1.21863	0	0	0	0	0	0	-1.13249
(vck)	inf	0	0	0	0	0	0	0	0	0	0	inf	0	0	0	0	inf	inf	0	0
(vadk)	#NAME?	0	0	0	0	0	0	0	0	0	0	0	0	0	#NAME?	0	#NAME?	0	0	0
(vatpase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(vfout)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																				
Unscaled concentration control coefficients																				
Unscaled concentration control coefficients																				
Rows:    Species (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)				
adp	-0.00764973	-0.000208231	-2.30E-05	-0.000396314	-0.00028645	3.40E-05	-3.01E-05	-0.000160551	-0.000696507	-0.00406853	-0.00364553	-7.93E-05	2.52E-05	0.00430446	0.00871685	-9.59E-05				
GAP	0.0164045	0.000385949	2.22E-05	0.000315231	-8.71E-06	1.18E-06	-6.76E-05	-0.00036052	-0.00155211	-0.00906437	-0.00812137	-0.000177883	1.16E-06	-0.00896605	0.00733341	-0.000215292				
P	-2.19184	-0.0440144	0.00040801	0.0245243	0.0788191	-0.00940435	0.0083018	0.0442809	0.19212	1.12224	1.00556	0.0218589	-0.00703706	1.18044	-0.906311	0.0264559				
G6P	0.0244166	0.000617095	-0.00301039	-0.0430214	-0.000166253	1.27E-06	-7.60E-06	-4.05E-05	-0.000166553	-0.000971306	-0.000869861	-1.99E-05	-3.71E-05	-0.00230466	0.00845518	-2.41E-05				
DHAP	0.321111	0.00755496	0.000435091	0.00617217	-0.00016861	0.00258998	-0.00132267	-0.0070548	-0.0303723	-0.177375	-0.158922	-0.00348088	2.26E-05	-0.175504	0.144322	-0.00421292				
P2G	0.000801019	2.18E-05	2.41E-06	4.15E-05	3.00E-05	-3.56E-06	3.15E-06	1.68E-05	7.38E-05	-0.000854581	-0.000718676	6.79E-06	-2.64E-06	-0.00044385	0.000676223	8.22E-06				
LAC	0.20052	0.00545829	0.00060283	0.0103884	0.0075086	-0.000892414	0.000789004	0.00420846	0.0182573	0.106647	0.0955589	0.00207746	-0.000660637	-0.101973	3.10484	-4.99749				
F6P	0.0105915	0.000267633	2.26E-05	-0.0187104	-7.33E-05	6.72E-07	-3.41E-06	-1.82E-05	-7.49E-05	-0.000436602	-0.000391009	-8.95E-06	-1.61E-05	-0.000988662	0.00326345	-1.08E-05				
P3G	0.00508561	0.000138434	1.53E-05	0.000263473	0.000190434	-2.26E-05	2.00E-05	0.000106738	-0.00108682	-0.00532596	-0.00447714	4.32E-05	-1.68E-05	-0.00281513	0.00520646	5.23E-05				
PYR	-0.000430279	-1.17E-05	-1.29E-06	-2.23E-05	-1.61E-05	1.91E-06	-1.69E-06	-8.99E-06	7.31E-05	0.000445989	0.000405115	-0.000198106	1.42E-06	0.000239066	-0.000155892	-0.000239769				
G1P	0.00385973	-0.00778952	-0.000455901	-0.00651387	-1.93E-05	-5.11E-07	-5.30E-07	-2.83E-06	-1.08E-05	-6.31E-05	-5.65E-05	-1.39E-06	-6.15E-06	-0.000429818	0.00373071	-1.68E-06				
PCr	0.055722	0.00151679	0.000167519	0.00288682	0.00208655	-0.000247991	0.000219255	0.00116948	0.00507348	0.0296359	0.0265547	0.000577301	0.00700287	-0.031198	-0.0634951	0.00069871				
NADH	0.00574512	0.000156386	1.73E-05	0.000297641	0.00021513	-2.56E-05	2.26E-05	0.000120016	-0.000913841	-0.00558178	-0.00507178	-0.000145672	-1.89E-05	-0.00318083	0.0056788	-0.000176307				
DPG	5.25E-06	1.43E-07	1.58E-08	2.72E-07	1.96E-07	-2.34E-08	2.06E-08	-4.98E-07	-6.24E-08	-8.39E-09	9.53E-08	5.11E-08	-1.73E-08	-2.93E-06	-1.74E-06	6.18E-08				
amp	-0.000371059	-1.01E-05	-1.12E-06	-1.92E-05	-1.39E-05	1.65E-06	-1.46E-06	-7.79E-06	-3.38E-05	-0.000197349	-0.00017683	-3.84E-06	1.22E-06	-0.000225541	0.000422821	-4.65E-06				
PEP	0.000283521	7.72E-06	8.52E-07	1.47E-05	1.06E-05	-1.26E-06	1.12E-06	5.95E-06	2.61E-05	0.00015278	-0.000281176	2.37E-06	-9.34E-07	-0.00015799	-4.63E-05	2.86E-06				
atp	0.00802079	0.000218332	2.41E-05	0.000415538	0.000300344	-3.57E-05	3.16E-05	0.000168338	0.000730292	0.00426588	0.00382236	8.31E-05	-2.64E-05	-0.00407892	-0.00913967	0.000100574				
Cr	-0.055722	-0.00151679	-0.000167519	-0.00288682	-0.00208655	0.000247991	-0.000219255	-0.00116948	-0.00507348	-0.0296359	-0.0265547	-0.000577301	-0.00700287	0.031198	0.0634951	-0.00069871				
FDP	0.872582	0.0205324	0.00118352	0.0167961	-0.0405076	0.0035623	-0.00358829	-0.0191391	-0.0823968	-0.4812	-0.431138	-0.00944331	5.89E-05	-0.476884	0.403215	-0.0114293				
NAD	-0.00574512	-0.000156386	-1.73E-05	-0.000297641	-0.00021513	2.56E-05	-2.26E-05	-0.000120016	0.000913841	0.00558178	0.00507178	0.000145672	1.89E-05	0.00318083	-0.0056788	0.000176307				
																				
Scaled concentration control coefficients																				
Scaled concentration control coefficients																				
Rows:    Species (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)	'Summation Error'			
adp	-0.366561	-0.00997804	-0.00110201	-0.0189906	-0.0137261	-0.00163138	-0.00288468	-0.0153866	-0.0667506	-0.389913	-0.349374	-0.00759542	0	-6.82E-17	1.25309	-0.00919276	1.25E-16			
GAP	3.09431	0.0727998	0.00419184	0.0594606	-0.00164361	-0.000222019	-0.0254993	-0.136007	-0.585535	-3.41954	-3.06379	-0.0671064	0	5.59E-16	4.1498	-0.0812191	1.97E-16			
P	-1.60065	-0.0321428	0.000297961	0.0179096	0.0575599	0.0068678	0.0121253	0.0646748	0.280602	1.63909	1.46868	0.0319262	0	-2.85E-16	-1.98558	0.0386404	1.99E-16			
G6P	0.300454	0.00759355	-0.0370438	-0.529392	-0.00204579	-1.56E-05	-0.000187116	-0.000997876	-0.00409898	-0.0239044	-0.0214078	-0.00049096	0	9.38E-18	0.312131	-0.00059421	4.40E-16			
DHAP	3.07839	0.0724269	0.00417107	0.0591706	-0.00161641	-0.0248293	-0.02536	-0.135264	-0.582338	-3.40087	-3.04706	-0.06674	0	5.56E-16	4.1507	-0.0807757	7.36E-17			
P2G	0.217723	0.00592657	0.000654548	0.0112797	0.00815279	0.000968977	0.00171339	0.00913921	0.0401228	-0.464564	-0.390683	0.00369116	0	3.99E-17	0.551407	0.00446742	4.04E-16			
LAC	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841691	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	-0.999497	1.11E-16			
F6P	0.300825	0.00760144	0.000641807	-0.531421	-0.00208188	-1.91E-05	-0.000193788	-0.00103346	-0.00425251	-0.0248011	-0.0222112	-0.000508522	0	9.29E-18	0.27807	-0.000615465	9.77E-17			
P3G	0.216947	0.00590545	0.000652216	0.0112395	0.00812373	0.000965524	0.00170728	0.00910664	-0.0927254	-0.4544	-0.38198	0.00368803	0	3.97E-17	0.666307	0.00446363	5.47E-17			
PYR	-0.496197	-0.0135068	-0.00149173	-0.0257067	-0.0185804	-0.00220833	-0.00390486	-0.0207269	0.168576	1.02863	0.934355	-0.456911	0	-9.12E-17	-0.539322	-0.553001	1.08E-16			
G1P	0.309851	-0.625327	-0.0365988	-0.52292	-0.0015479	4.10E-05	-8.51E-05	-0.000453972	-0.00174193	-0.0101365	-0.00907148	-0.000222486	0	1.14E-17	0.898482	-0.000269275	7.59E-17			
PCr	0.357227	0.00972395	0.00107394	0.018507	0.0133766	0.00158984	0.00281122	0.0149948	0.0650508	0.379984	0.340477	0.007402	0	6.61E-17	-1.22118	0.00895867	3.98E-17			
NADH	0.389135	0.0105925	0.00116987	0.0201601	0.0145714	0.00173185	0.00306233	0.0162581	-0.123795	-0.756143	-0.687055	-0.0197336	0	7.12E-17	1.15393	-0.0238837	1.32E-16			
DPG	0.577744	0.0157266	0.00173689	0.0299315	0.021634	0.00257125	0.0045466	-0.109648	-0.0137523	-0.00184808	0.020993	0.011245	0	1.07E-16	-0.57449	0.0136099	4.35E-16			
amp	-0.753174	-0.0205019	-0.00226429	-0.0390201	-0.0282031	-0.00335201	-0.00592717	-0.0316148	-0.137153	-0.801155	-0.717859	-0.0156063	0	1.51E-16	2.57472	-0.0188884	2.16E-17			
PEP	0.355086	0.00966568	0.00106751	0.0183961	0.0132964	0.00158031	0.00279438	0.0149052	0.0654899	0.382689	-0.704298	0.00592789	0	6.54E-17	-0.173775	0.00717454	5.33E-15			
atp	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	-0.0685475	0.000502872	9.81E-17			
Cr	-0.0293865	-0.000799921	-8.83E-05	-0.00152244	-0.0011004	-0.000130785	-0.00023126	-0.00123351	-0.00535127	-0.0312586	-0.0280086	-0.00060891	0	-5.44E-18	0.100458	-0.000736966	8.85E-17			
FDP	5.97537	0.140604	0.00810467	0.115018	-0.277393	-0.0243944	-0.0491448	-0.262126	-1.12849	-6.59044	-5.90481	-0.129334	0	1.08E-15	8.28357	-0.156534	1.68E-16			
NAD	-0.526405	-0.0143291	-0.00158255	-0.0272717	-0.0197116	-0.00234277	-0.00414259	-0.0219932	0.167464	1.02288	0.929418	0.0266948	0	-9.64E-17	-1.56098	0.0323088	1.42E-16			
																				
Unscaled flux control coefficients																				
Unscaled flux control coefficients																				
Rows:    Reactions (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)				
(vgp)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	-8.92E-05	7.89E-05	0.000420846	0.00182573	0.0106647	0.00955589	0.000207746	-6.61E-05	-0.0101973	0.310484	0.000251436		0.020052		
(vpglm)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	-8.92E-05	7.89E-05	0.000420846	0.00182573	0.0106647	0.00955589	0.000207746	-6.61E-05	-0.0101973	0.310484	0.000251436		0.000545829		
(vpgi)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	-8.92E-05	7.89E-05	0.000420846	0.00182573	0.0106647	0.00955589	0.000207746	-6.61E-05	-0.0101973	0.310484	0.000251436		0.000060283		
(vpfk)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	-8.92E-05	7.89E-05	0.000420846	0.00182573	0.0106647	0.00955589	0.000207746	-6.61E-05	-0.0101973	0.310484	0.000251436		0.00103884		
(vald)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	-8.92E-05	7.89E-05	0.000420846	0.00182573	0.0106647	0.00955589	0.000207746	-6.61E-05	-0.0101973	0.310484	0.000251436		0.00075086		
(vtpi)	-0.020052	-0.000545829	-6.03E-05	-0.00103884	-0.00075086	8.92E-05	-7.89E-05	-0.000420846	-0.00182573	-0.0106647	-0.00955589	-0.000207746	6.61E-05	0.0101973	-0.310484	-0.000251436		8.92415E-05		
(vgapdh)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872		0.000157801		
(vpgk)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872		0.000841692		
(vpgm)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872		0.00365146		
(ven)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872		0.0213294		
(vpk)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872		0.0191118		
(vldh)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872		0.000415492		
(vck)	3.11E-15	3.08E-14	-1.63E-14	1.79E-15	-6.57E-16	5.11E-17	-7.13E-15	3.53E-15	-1.22E-14	-4.25E-15	-1.38E-14	9.47E-15	-5.77E-15	-1.59E-14	8.42E-15	4.02E-17				
(vadk)	-4.70E-15	7.77E-15	-1.03E-14	-8.38E-15	1.39E-17	-9.28E-16	4.62E-16	-3.08E-15	6.89E-15	5.33E-15	8.42E-15	7.67E-16	3.99E-17	3.19E-14	-7.65E-15	-1.68E-16				
(vatpase)	0.0601559	0.00163749	0.000180849	0.00311653	0.00225258	-0.000267724	0.000236701	0.00126254	0.00547719	0.0319941	0.0286677	0.000623238	-0.000198191	-0.0305919	0.931452	0.000754307				
(vfout)	0.040104	0.00109166	0.000120566	0.00207769	0.00150172	-0.000178483	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	-0.000132127	-0.0203946	0.620968	0.000502872				
																				
Scaled flux control coefficients																				
Scaled flux control coefficients																				
Rows:    Reactions (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)	'Summation Error'			
(vgp)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	4.77E-16			
(vpglm)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	0			
(vpgi)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	0			
(vpfk)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	2.38E-16			
(vald)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	9.54E-16			
(vtpi)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	2.10E-14			
(vgapdh)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	6.91E-15			
(vpgk)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	1.67E-15			
(vpgm)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	5.96E-16			
(ven)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	3.46E-15			
(vpk)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	3.81E-15			
(vldh)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	2.38E-16			
(vck)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			
(vadk)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			
(vatpase)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	0			
(vfout)	0.020052	0.000545829	6.03E-05	0.00103884	0.00075086	8.92E-05	0.000157801	0.000841692	0.00365146	0.0213294	0.0191118	0.000415492	0	3.37E-18	0.931452	0.000502872	0			
																				
Results of the steady state subtask (the state for which the MCA was performed):																				
Name:      TaskList[Steady-State]																				
Type:      Task																				
Container: 1																				
Vector:    0																				
VectorN:   0																				
Matrix:    0																				
Reference: 0																				
Bool:      0																				
Int:       0																				
Dbl:       0																				
