Metabolic Control Analysis Result:																				
																				
A steady state was found. All coefficients are shown.																				
																				
Unscaled elasticities																				
Unscaled elasticity matrix																				
Rows:    Reactions (reduced system)																				
Columns: Species (reduced system)																				
	adp	GAP	P	G6P	DHAP	P2G	LAC	F6P	P3G	PYR	G1P	PCr	NADH	DPG	amp	PEP	atp	Cr	FDP	NAD
P	-3.36252	-0.0133011	-0.000427096	-0.0463793	2.45E-05	-6.03E-06	4.82E-06	4.43E-05	0.000148553	0.000928349	0.0105122	4.20E-05	-3.78E-05	0.108677	1.13258	0.000744787				
G6P	0.00929377	4.43E-05	-0.00150629	-0.163677	-5.46E-05	-1.91E-06	-1.85E-06	-1.70E-05	-5.49E-05	-0.000342664	-0.00387834	-1.60E-05	-8.24E-05	0.00464201	0.0550292	-0.000283915				
DHAP	0.52802	0.00250331	0.000272957	0.0390689	0.0125254	0.00154991	-0.000124852	-0.00114539	-0.00372352	-0.0232462	-0.263125	-0.00108102	-0.00451683	-0.0180708	0.0141238	-0.0191603				
P2G	-0.00168448	-5.90E-06	1.65E-07	3.52E-05	2.31E-05	-3.17E-06	3.08E-06	2.84E-05	0.000109146	-0.000205181	-0.0017443	1.95E-05	-8.34E-06	5.27E-05	0.00150566	0.000345247				
LAC	-0.00392416	-1.37E-05	3.84E-07	8.21E-05	5.37E-05	-7.37E-06	7.18E-06	6.60E-05	0.000220553	0.00137815	0.0156048	6.26E-05	-1.94E-05	0.0010606	3.3223	-4.99889				
F6P	0.00416742	1.99E-05	2.21E-06	-0.0733899	-2.45E-05	-8.56E-07	-8.31E-07	-7.62E-06	-2.46E-05	-0.000153738	-0.00174003	-7.19E-06	-3.70E-05	0.00208132	0.024449	-0.000127378				
P3G	-0.00948146	-3.32E-05	9.28E-07	0.000198365	0.000129809	-1.78E-05	1.73E-05	0.00015989	-0.000301425	-0.00115456	-0.00981453	0.000109644	-4.69E-05	0.000296943	0.00908277	0.00194335				
PYR	0.0038576	1.35E-05	-3.77E-07	-8.07E-05	-5.28E-05	7.25E-06	-7.06E-06	-6.31E-05	4.45E-05	0.000327102	0.0039237	-0.000194792	1.91E-05	-0.000120232	-0.00162852	-0.00345254				
G1P	0.000643818	-0.00325147	-0.000104554	-0.0113611	-3.77E-06	-1.35E-07	-1.26E-07	-1.16E-06	-3.74E-06	-2.33E-05	-0.000264123	-1.09E-06	-5.73E-06	0.000322554	0.00490092	-1.93E-05				
PCr	-0.481993	-0.00168836	4.72E-05	0.0100839	0.00659889	-0.000905814	0.000881774	0.00810055	0.0270899	0.169274	1.91669	0.00768581	0.0331152	0.0146471	-1.35528	0.136225				
NADH	-0.00820573	-2.87E-05	8.03E-07	0.000171675	0.000112343	-1.54E-05	1.50E-05	0.000134218	-9.41E-05	-0.000692793	-0.00831191	-5.51E-05	-4.06E-05	0.000257401	0.0092986	-0.000976106				
DPG	-9.26E-05	-3.24E-07	9.06E-09	1.94E-06	1.27E-06	-1.74E-07	1.69E-07	-4.55E-06	1.52E-06	1.27E-05	0.000158213	1.29E-06	-4.59E-07	2.86E-06	-9.83E-05	2.29E-05				
amp	5.64E-06	1.98E-08	-5.52E-10	-1.18E-07	-7.72E-08	1.06E-08	-1.03E-08	-9.48E-08	-3.17E-07	-1.98E-06	-2.24E-05	-8.99E-08	2.79E-08	-0.000378211	1.59E-05	-1.59E-06				
PEP	-0.000804753	-2.82E-06	7.87E-08	1.68E-05	1.10E-05	-1.51E-06	1.47E-06	1.36E-05	5.21E-05	0.000327147	-0.000835002	9.30E-06	-3.98E-06	2.51E-05	0.000437006	0.000164914				
atp	-0.00156966	-5.50E-06	1.54E-07	3.28E-05	2.15E-05	-2.95E-06	2.87E-06	2.64E-05	8.82E-05	0.000551259	0.00624192	2.50E-05	-7.77E-06	0.000424242	-0.00441363	0.000443632				
Cr	0.481993	0.00168836	-4.72E-05	-0.0100839	-0.00659889	0.000905814	-0.000881774	-0.00810055	-0.0270899	-0.169274	-1.91669	-0.00768581	-0.0331152	-0.0146471	1.35528	-0.136225				
FDP	1.64434	0.0077957	0.00085004	0.121668	-0.0099525	-0.000260022	-0.00038878	-0.00356667	-0.0115948	-0.0723869	-0.819352	-0.00336623	-0.0140663	-0.0562713	0.0585599	-0.0596638				
NAD	0.00820573	2.87E-05	-8.03E-07	-0.000171675	-0.000112343	1.54E-05	-1.50E-05	-0.000134218	9.41E-05	0.000692793	0.00831191	5.51E-05	4.06E-05	-0.000257401	-0.0092986	0.000976106				
																				
Scaled concentration control coefficients																				
Scaled concentration control coefficients																				
Rows:    Species (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)	'Summation Error'			
adp	0.0983237	0.000344416	-9.62E-06	-0.00205706	-0.00134613	-0.000184781	-0.000359753	-0.00330493	-0.0110524	-0.0690617	-0.781987	-0.00313572	0	3.90E-20	0.829409	-0.0555782	2.43E-16			
GAP	0.387478	0.00183701	0.000200304	0.0286699	0.00919152	0.00126086	-0.000183243	-0.00168108	-0.00546497	-0.0341182	-0.386186	-0.0015866	0	1.79E-19	0.0287031	-0.0281213	2.87E-16			
P	-1.05927	-0.00419016	-0.000134545	-0.0146105	7.71E-06	1.90E-06	3.03E-06	2.79E-05	9.36E-05	0.000584903	0.00662316	2.65E-05	0	-4.61E-19	1.07037	0.00046925	6.89E-17			
G6P	0.0276317	0.000131797	-0.00447842	-0.486636	-0.000162329	5.68E-06	-1.10E-05	-0.000101037	-0.000326439	-0.00203758	-0.0230617	-9.53E-05	0	-1.86E-19	0.490829	-0.00168824	6.41E-16			
DHAP	0.387322	0.00183627	0.000200224	0.0286585	0.00918786	-0.00113691	-0.000183166	-0.00168037	-0.00546268	-0.0341039	-0.386024	-0.00158594	0	1.78E-19	0.031081	-0.0281095	3.14E-16			
P2G	-0.0835411	-0.000292634	8.17E-06	0.00174779	0.00114375	0.000157	0.000305666	0.00281758	0.0108261	-0.0203517	-0.173015	0.00193209	0	-3.52E-20	0.224017	0.0342447	1.55E-16			
LAC	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	-0.999778	3.33E-16			
F6P	0.0276582	0.000131921	1.47E-05	-0.487072	-0.000162499	5.68E-06	-1.10E-05	-0.000101186	-0.00032693	-0.00204064	-0.0230964	-9.54E-05	0	-1.86E-19	0.486786	-0.00169075	8.25E-16			
P3G	-0.0832843	-0.000291735	8.15E-06	0.00174242	0.00114023	0.000156517	0.000304726	0.00280892	-0.00529538	-0.0202831	-0.17242	0.0019262	0	-3.51E-20	0.239347	0.0341405	3.19E-16			
PYR	0.470038	0.00164649	-4.60E-05	-0.00983384	-0.00643523	-0.000883348	-0.00171981	-0.0153762	0.0108385	0.0797131	0.956186	-0.0474698	0	1.97E-19	-0.595291	-0.841366	2.32E-16			
G1P	0.0274222	-0.13849	-0.00445327	-0.483903	-0.000160673	5.75E-06	-1.08E-05	-9.86E-05	-0.000318492	-0.00198793	-0.0224996	-9.30E-05	0	-1.85E-19	0.626235	-0.00164801	5.00E-16			
PCr	-0.047477	-0.000166306	4.65E-06	0.000993282	0.00065	8.92E-05	0.000173712	0.00159583	0.00533679	0.0333474	0.377593	0.00151413	0	-1.94E-20	-0.400492	0.0268367	2.43E-16			
NADH	-0.455337	-0.00159499	4.46E-05	0.00952627	0.00623396	0.000855721	0.00166602	0.0148956	-0.0104477	-0.0768864	-0.922459	-0.00611189	0	-1.92E-19	1.54794	-0.108329	8.97E-17			
DPG	-0.180399	-0.000631917	1.77E-05	0.0037742	0.00246982	0.000339026	0.000660057	-0.017733	0.00590664	0.0494642	0.616216	0.00503759	0	-7.49E-20	-0.574408	0.0892875	1.58E-16			
amp	0.19704	0.000690207	-1.93E-05	-0.00412234	-0.00269764	-0.000370299	-0.000720942	-0.00662304	-0.0221488	-0.138399	-1.56709	-0.00628395	0	1.78E-16	1.66213	-0.111378	2.42E-16			
PEP	-0.0891536	-0.000312295	8.72E-06	0.00186521	0.00122059	0.000167547	0.000326201	0.00300688	0.0115541	0.0724852	-0.185009	0.00206157	0	-3.75E-20	0.14524	0.0365397	3.34E-15			
atp	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	-0.00331022	0.000221816	2.29E-16			
Cr	0.0512391	0.000179484	-5.01E-06	-0.00107199	-0.000701507	-9.63E-05	-0.000187477	-0.00172229	-0.00575969	-0.0359899	-0.407514	-0.00163411	0	2.10E-20	0.432227	-0.0289633	3.61E-16			
FDP	0.773162	0.00366551	0.000399686	0.057208	-0.00467963	0.000122261	-0.000365606	-0.00335407	-0.0109037	-0.0680722	-0.770513	-0.00316558	0	3.56E-19	0.0826041	-0.0561074	5.21E-16			
NAD	0.0361949	0.000126787	-3.54E-06	-0.000757247	-0.00049554	-6.80E-05	-0.000132432	-0.00118406	0.000830488	0.00611173	0.0733266	0.000485837	0	1.53E-20	-0.123047	0.00861109	1.41E-17			
																				
Unscaled flux control coefficients																				
Unscaled flux control coefficients																				
Rows:    Reactions (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)				
(vgp)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	-7.37E-07	7.18E-07	6.60E-06	2.21E-05	0.000137815	0.00156048	6.26E-06	-1.94E-06	0.00010606	0.33223	0.000110908		-0.000392416		
(vpglm)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	-7.37E-07	7.18E-07	6.60E-06	2.21E-05	0.000137815	0.00156048	6.26E-06	-1.94E-06	0.00010606	0.33223	0.000110908		-1.37459E-06		
(vpgi)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	-7.37E-07	7.18E-07	6.60E-06	2.21E-05	0.000137815	0.00156048	6.26E-06	-1.94E-06	0.00010606	0.33223	0.000110908		3.83945E-08		
(vpfk)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	-7.37E-07	7.18E-07	6.60E-06	2.21E-05	0.000137815	0.00156048	6.26E-06	-1.94E-06	0.00010606	0.33223	0.000110908		8.20987E-06		
(vald)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	-7.37E-07	7.18E-07	6.60E-06	2.21E-05	0.000137815	0.00156048	6.26E-06	-1.94E-06	0.00010606	0.33223	0.000110908		5.37251E-06		
(vtpi)	0.000392416	1.37E-06	-3.84E-08	-8.21E-06	-5.37E-06	7.37E-07	-7.18E-07	-6.60E-06	-2.21E-05	-0.000137815	-0.00156048	-6.26E-06	1.94E-06	-0.00010606	-0.33223	-0.000110908		7.37472E-07		
(vgapdh)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816		1.4358E-06		
(vpgk)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816		1.31902E-05		
(vpgm)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816		4.41107E-05		
(ven)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816		0.000275629		
(vpk)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816		0.00312096		
(vldh)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816		1.25149E-05		
(vck)	1.20E-15	5.68E-16	-3.06E-15	5.43E-15	8.17E-17	9.85E-17	-1.25E-15	-3.71E-15	-3.75E-16	7.61E-16	5.60E-15	4.60E-15	4.44E-16	4.41E-15	-2.94E-15	-1.27E-15				
(vadk)	-1.24E-16	-9.39E-17	4.66E-18	2.06E-16	1.59E-18	-1.53E-18	-1.20E-16	-9.17E-17	3.17E-17	-7.49E-18	1.28E-15	-8.38E-16	8.32E-17	1.11E-16	-2.36E-16	9.44E-17				
(vatpase)	-0.00117725	-4.12E-06	1.15E-07	2.46E-05	1.61E-05	-2.21E-06	2.15E-06	1.98E-05	6.62E-05	0.000413444	0.00468144	1.88E-05	-5.83E-06	0.000318181	0.99669	0.000332724				
(vfout)	-0.000784832	-2.75E-06	7.68E-08	1.64E-05	1.07E-05	-1.47E-06	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	-3.89E-06	0.000212121	0.66446	0.000221816				
																				
Scaled flux control coefficients																				
Scaled flux control coefficients																				
Rows:    Reactions (reduced system)																				
Columns: Reactions (reduced system)																				
	(vgp)	(vpglm)	(vpgi)	(vpfk)	(vald)	(vtpi)	(vgapdh)	(vpgk)	(vpgm)	(ven)	(vpk)	(vldh)	(vck)	(vadk)	(vatpase)	(vfout)	'Summation Error'			
(vgp)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	2.23E-16			
(vpglm)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	7.80E-16			
(vpgi)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	5.01E-15			
(vpfk)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	6.68E-16			
(vald)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	1.09E-14			
(vtpi)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	5.50E-14			
(vgapdh)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	2.05E-14			
(vpgk)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	1.43E-14			
(vpgm)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	5.57E-16			
(ven)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	7.13E-15			
(vpk)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	1.11E-15			
(vldh)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	2.23E-15			
(vck)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			
(vadk)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			
(vatpase)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	0			
(vfout)	-0.000392416	-1.37E-06	3.84E-08	8.21E-06	5.37E-06	7.37E-07	1.44E-06	1.32E-05	4.41E-05	0.000275629	0.00312096	1.25E-05	0	-1.43E-21	0.99669	0.000221816	4.46E-16			
																				
Results of the steady state subtask (the state for which the MCA was performed):																				
Name:      TaskList[Steady-State]																				
Type:      Task																				
Container: 1																				
Vector:    0																				
VectorN:   0																				
Matrix:    0																				
Reference: 0																				
Bool:      0																				
Int:       0																				
Dbl:       0																				
