step 0, training loss: 0.100177
step 121000, training loss: 0.0400636
step 121500, training loss: 0.0426369
step 122000, training loss: 0.038944
step 122500, training loss: 0.0358235
step 123000, training loss: 0.0352662
step 123500, training loss: 0.0397912
step 124000, training loss: 0.0386454
step 124500, training loss: 0.0413033
step 125000, training loss: 0.0339316
step 125500, training loss: 0.039975
step 126000, training loss: 0.0393003
step 126500, training loss: 0.038194
step 127000, training loss: 0.0381659
step 127500, training loss: 0.0405531
step 128000, training loss: 0.0389524
step 128500, training loss: 0.0441333
step 129000, training loss: 0.0362942
step 129500, training loss: 0.038595
step 130000, training loss: 0.0403733
step 130500, training loss: 0.0383688
step 131000, training loss: 0.0435401
step 131500, training loss: 0.0400286
step 132000, training loss: 0.0389809
step 132500, training loss: 0.0373859
step 133000, training loss: 0.0450347
step 133500, training loss: 0.0413453
step 134000, training loss: 0.0411062
step 134500, training loss: 0.038735
step 135000, training loss: 0.0381301
step 135500, training loss: 0.0431451
step 136000, training loss: 0.0388998
step 136500, training loss: 0.0389313
step 137000, training loss: 0.0379525
step 137500, training loss: 0.0375626
step 138000, training loss: 0.0382315
step 138500, training loss: 0.0384812
step 139000, training loss: 0.0420423
step 139500, training loss: 0.039465
step 140000, training loss: 0.0386802
step 140500, training loss: 0.0362618
step 141000, training loss: 0.0411954
step 141500, training loss: 0.0389135
step 142000, training loss: 0.0380181
step 142500, training loss: 0.0403881
step 143000, training loss: 0.0412337
step 143500, training loss: 0.0375369
step 144000, training loss: 0.0363942
step 144500, training loss: 0.0421987
step 145000, training loss: 0.0379212
step 145500, training loss: 0.0412176
step 146000, training loss: 0.0402522
step 146500, training loss: 0.0360197
step 147000, training loss: 0.0415318
step 147500, training loss: 0.0415461
step 148000, training loss: 0.0408471
step 148500, training loss: 0.0382861
step 149000, training loss: 0.0400882
step 149500, training loss: 0.0445422
step 150000, training loss: 0.038883
step 150500, training loss: 0.0389767
step 151000, training loss: 0.0381522
step 151500, training loss: 0.0353675
step 152000, training loss: 0.0400245
step 152500, training loss: 0.0373909
step 153000, training loss: 0.0390459
step 153500, training loss: 0.0400626
step 154000, training loss: 0.0372517
step 154500, training loss: 0.0429748
step 155000, training loss: 0.036094
step 155500, training loss: 0.0409225
step 156000, training loss: 0.0361922
step 156500, training loss: 0.0381537
step 157000, training loss: 0.0392896
step 157500, training loss: 0.035787
step 158000, training loss: 0.0374313
step 158500, training loss: 0.0391711
step 159000, training loss: 0.0377853
step 159500, training loss: 0.0422023
step 160000, training loss: 0.0401789
step 160500, training loss: 0.0379053
step 161000, training loss: 0.0374835
step 161500, training loss: 0.038535
step 162000, training loss: 0.0415599
step 162500, training loss: 0.0384577
step 163000, training loss: 0.0402523
step 163500, training loss: 0.0381726
step 164000, training loss: 0.0388068
step 164500, training loss: 0.0367845
step 165000, training loss: 0.0388091
step 165500, training loss: 0.0398173
step 166000, training loss: 0.0381269
step 166500, training loss: 0.0381361
step 167000, training loss: 0.0420421
step 167500, training loss: 0.0407273
step 168000, training loss: 0.038278
step 168500, training loss: 0.0431471
step 169000, training loss: 0.0375794
step 169500, training loss: 0.037273
step 170000, training loss: 0.0402347
step 170500, training loss: 0.0360757
step 171000, training loss: 0.0407963
step 171500, training loss: 0.0392717
step 172000, training loss: 0.0399874
step 172500, training loss: 0.0376963
step 173000, training loss: 0.0355629
step 173500, training loss: 0.0387618
step 174000, training loss: 0.0376413
step 174500, training loss: 0.0400678
step 175000, training loss: 0.0395569
step 175500, training loss: 0.0362477
step 176000, training loss: 0.0375334
step 176500, training loss: 0.0384933
step 177000, training loss: 0.034699
step 177500, training loss: 0.0364932
step 178000, training loss: 0.037377
step 178500, training loss: 0.037477
step 179000, training loss: 0.0405125
step 179500, training loss: 0.0393729
step 180000, training loss: 0.0365783
step 180500, training loss: 0.0410329
step 181000, training loss: 0.0400615
step 181500, training loss: 0.0338821
step 182000, training loss: 0.0351348
step 182500, training loss: 0.0383578
step 183000, training loss: 0.0398423
step 183500, training loss: 0.0383126
step 184000, training loss: 0.0337787
step 184500, training loss: 0.0389658
step 185000, training loss: 0.0420223
step 185500, training loss: 0.0390914
step 186000, training loss: 0.0343169
step 186500, training loss: 0.0413603
step 187000, training loss: 0.0340923
step 187500, training loss: 0.0424397
step 188000, training loss: 0.0375714
step 188500, training loss: 0.0354372
step 189000, training loss: 0.0374046
step 189500, training loss: 0.0381412
step 190000, training loss: 0.0377414
step 190500, training loss: 0.0388962
step 191000, training loss: 0.0382823
step 191500, training loss: 0.0405324
step 192000, training loss: 0.04001
step 192500, training loss: 0.0321499
step 193000, training loss: 0.0369184
step 193500, training loss: 0.0342098
step 194000, training loss: 0.0346202
step 194500, training loss: 0.0371707
step 195000, training loss: 0.0414499
step 195500, training loss: 0.0365972
step 196000, training loss: 0.0363411
step 196500, training loss: 0.0391608
step 197000, training loss: 0.0397501
step 197500, training loss: 0.0390643
step 198000, training loss: 0.0374536
step 198500, training loss: 0.0404004
step 199000, training loss: 0.0354937
step 199500, training loss: 0.0359342
step 200000, training loss: 0.0369763
